variant,run,seed,best_value,duration_s
GA generational (elitism=1),1,101,5039.820100367823,0.4780280590057373
GA generational (elitism=1),2,202,5035.628095385118,0.46775197982788086
GA generational (elitism=1),3,303,5042.5815856039435,0.4663093090057373
GA steady-state,1,101,5042.364324636218,0.6660809516906738
GA steady-state,2,202,5039.820100367823,0.6711900234222412
GA steady-state,3,303,5042.5815856039435,0.6729683876037598
Memetic GA (LS top-4),1,101,5042.364324636218,0.8710579872131348
Memetic GA (LS top-4),2,202,5042.364324636218,0.8726418018341064
Memetic GA (LS top-4),3,303,5042.364324636218,0.8782589435577393
